date,product,category,region,quantity,unit_price,discount,revenue,cost,profit
2024-01-26,Accessory L,Accessories,North,48,29.99,0.1,1295.57,629.27,666.3
2025-03-08,Accessory S,Accessories,North,3,5.99,0,17.97,7.78,10.19
2025-03-05,Accessory S,Accessories,,15,5.99,0.25,67.39,40.85,26.54
2024-12-14,Widget Pro,Widgets,West,18,34.99,0,629.82,299.39,330.43
2025-01-02,Service Basic,Services,North,23,99.0,0.1,2049.3,1398.64,650.66
2024-10-27,Service Basic,Services,North,41,99.0,0.15,3450.15,2077.24,1372.91
2024-03-22,Gadget X,Gadgets,East,15,49.99,0,749.85,399.7,350.15
2024-12-29,Widget Pro,Widgets,East,14,34.99,0.1,440.87,284.64,156.23
2025-06-30,Accessory L,Accessories,South,47,29.99,0.05,1339.05,612.2,726.85
2024-11-28,Accessory L,Accessories,South,50,29.99,0,1499.5,720.01,779.49
2024-08-04,Gadget Y,Gadgets,North,37,79.99,0.15,2515.69,1193.49,1322.2
2024-05-26,Accessory L,Accessories,West,17,29.99,0,509.83,247.94,261.89
2025-02-12,Accessory M,Accessories,West,24,14.99,0.05,341.77,256.01,85.76
2024-06-05,Widget A,Widgets,North,41,12.99,0,532.59,360.68,171.91
2025-06-25,Service Basic,Services,West,17,99.0,0,1683.0,1073.92,609.08
2024-04-24,Gadget Y,Gadgets,East,19,79.99,,1215.85,553.64,662.21
2025-06-03,Gadget Y,Gadgets,South,7,79.99,0.1,503.94,350.03,153.91
2025-06-27,Gadget Z,Gadgets,South,1,129.0,0.15,109.65,62.61,47.04
2024-02-29,Gadget Y,Gadgets,South,16,79.99,0,1279.84,550.3,729.54
2024-05-11,Accessory S,Accessories,South,43,5.99,0.25,193.18,141.29,51.89
2024-08-04,Accessory M,Accessories,West,35,14.99,0.05,498.42,323.74,174.68
2025-06-13,Gadget Z,Gadgets,West,29,129.0,0,3741.0,1821.0,1920.0
2024-08-13,Accessory S,Accessories,South,1,5.99,0,5.99,3.88,2.11
